ParisSG,ParisSG;
Lens,Lens;
Nice,Nice;
Angers,Angers;
Marseille,Marseille;
Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
Montpellier,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
Troyes,Troyes;
Metz,Metz;
Brest,Brest;
Saint-Étienne,Saint-Etienne;
BayernMunich,BayernMunich;
BayerLeverkusen,BayerLeverkusen;
BorussiaDortmund,Dortmund;
Fribourg,Fribourg;
Wolfsbourg,Wolfsburg;
Cologne,FCCologne;
UnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
Mayence,Mayence;
BorussiaM'Gladbach,BMonchengladbach;
TSGHoffenheim,Hoffenheim;
VfBStuttgart,Stuttgart;
EintrachtFrancfort,Francfort;
HerthaBerlin,HerthaBerlin;
Augsbourg,Augsburg;
ArminiaBielefeld,Bielefeld;
Bochum,Bochum;
GreutherFürth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
ManchesterCity,ManchesterCity;
ManchesterUnited,ManchesterUnited;
Everton,Everton;
Brighton,Brighton;
Brentford,Brentford;
Tottenham,Tottenham;
WestHam,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
Wolverhampton,Wolverhampton;
Leicester,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
Leeds,Leeds;
Southampton,Southampton;
Burnley,Burnley;
Newcastle,Newcastle;
Norwich,Norwich;
RealMadrid,RealMadrid;
AtleticoMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
FCSéville,FCSeville;
Osasuna,Osasuna;
RayoVallecano,Vallecano;
AthleticBilbao,AthleticBilbao;
Valence,Valence;
FCBarcelone,FCBarcelone;
Besiktas,Betis;
Villarreal,Villareal;
Majorque,Majorque;
EspanyolBarcelone,Espanyol;
Elche,Elche;
CeltaVigo,CeltaVigo;
CFCadiz,Cadix;
Grenade,Grenade;
Levante,Levante;
Alaves,Alaves;
Getafe,Getafe;
Naples,Naples;
MilanAC,ACMilan;
InterMilan,Inter;
ASRome,ASRome;
Fiorentina,Fiorentina;
LazioRome,Lazio;
JuventusTurin,Juventus;
AtalantaBergame,Atalanta;
Bologne,Bologne;
Empoli,Empoli;
Torino,Torino;
HellasVérone,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
SampdoriaGênes,Sampdoria;
Genoa,Genoa;
Venise,Venise;
Salernitana,Salernitana;
Spezia,Spezia;
Cagliari,Cagliari;
